Date,Open
2019-10-31,47.345
2019-10-31,47.345
2019-11-01,47.455
2019-11-01,47.455
2019-11-04,47.8
2019-11-04,47.8
2019-11-05,48.78
2019-11-05,48.78
2019-11-06,49.215
2019-11-06,49.215
2019-11-07,49.41
2019-11-07,49.41
2019-11-08,49.435
2019-11-08,49.435
2019-11-11,49.32
2019-11-11,49.32
2019-11-12,49.5
2019-11-12,49.5
2019-11-13,49.04
2019-11-13,49.04
2019-11-14,49.29
2019-11-14,49.29
2019-11-15,49.395
2019-11-15,49.395
2019-11-18,49.12
2019-11-18,49.12
2019-11-19,49.0
2019-11-19,49.0
2019-11-20,48.435
2019-11-20,48.435
2019-11-21,48.29
2019-11-21,48.29
2019-11-22,49.0
2019-11-22,49.0
2019-11-25,49.36
2019-11-25,49.36
2019-11-26,48.86
2019-11-26,48.86
2019-11-27,48.12
2019-11-27,48.12
2019-11-28,48.0
2019-11-28,48.0
2019-11-29,47.925
2019-11-29,47.925
2019-12-02,47.69
2019-12-02,47.69
2019-12-03,47.195
2019-12-03,47.195
2019-12-04,46.525
2019-12-04,46.525
2019-12-05,47.335
2019-12-05,47.335
2019-12-06,47.405
2019-12-06,47.405
2019-12-09,48.0
2019-12-09,48.0
2019-12-10,47.38
2019-12-10,47.38
2019-12-11,47.48
2019-12-11,47.48
2019-12-12,47.54
2019-12-12,47.54
2019-12-13,48.0
2019-12-13,48.0
2019-12-16,47.8
2019-12-16,47.8
2019-12-17,48.35
2019-12-17,48.35
2019-12-18,48.755
2019-12-18,48.755
2019-12-19,48.715
2019-12-19,48.715
2019-12-20,49.0
2019-12-20,49.0
2019-12-23,48.955
2019-12-23,48.955
2019-12-24,49.45
2019-12-24,49.45
2019-12-27,49.665
2019-12-27,49.665
2019-12-30,49.24
2019-12-30,49.24
2019-12-31,49.14
2019-12-31,49.14
2020-01-02,49.41
2020-01-02,49.41
2020-01-03,49.955
2020-01-03,49.955
2020-01-06,50.29
2020-01-06,50.29
2020-01-07,50.52
2020-01-07,50.52
2020-01-08,50.75
2020-01-08,50.75
2020-01-09,50.08
2020-01-09,50.08
2020-01-10,50.41
2020-01-10,50.41
2020-01-13,49.895
2020-01-13,49.895
2020-01-14,49.58
2020-01-14,49.58
2020-01-15,48.9
2020-01-15,48.9
2020-01-16,48.455
2020-01-16,48.455
2020-01-17,48.8
2020-01-17,48.8
2020-01-20,48.815
2020-01-20,48.815
2020-01-21,48.4
2020-01-21,48.4
2020-01-22,48.375
2020-01-22,48.375
2020-01-23,47.6
2020-01-23,47.6
2020-01-24,47.85
2020-01-24,47.85
2020-01-27,47.0
2020-01-27,47.0
2020-01-28,46.185
2020-01-28,46.185
2020-01-29,46.5
2020-01-29,46.5
2020-01-30,45.7
2020-01-30,45.7
2020-01-31,45.0
2020-01-31,45.0
2020-02-03,43.955
2020-02-03,43.955
